,ESS,DG,EV,HVAC
0,1.0,0.0,0,0.0
1,1.0,0.0,0,0.0
2,1.0,0.0,0,0.0
3,1.0,0.0,0,0.0
4,1.0,0.0,0,0.0
5,1.0,0.0,0,0.0
6,1.0,0.0,0,0.0
7,1.0,0.0,0,0.0
8,1.0,0.0,0,0.0
9,1.0,0.0,0,0.0
10,1.0,0.0,0,0.0
11,1.0,0.0,0,0.0
12,1.0,0.0,0,0.0
13,1.0,0.0,0,0.0
14,1.0,0.0,0,0.0
15,1.0,0.0,0,0.0
16,1.0,0.0,0,0.0
17,1.0,0.0,0,0.0
18,1.0,0.0,0,0.0
19,1.0,0.0,0,0.0
20,1.0,0.0,0,0.0
21,1.0,0.0,0,0.0
22,1.0,0.0,0,0.0
23,1.0,0.0,0,5.0
24,1.0,0.0,0,5.0
25,1.0,0.0,0,5.0
26,1.0,0.0,0,5.0
27,1.0,0.0,0,1.5
28,1.0,0.0,0,1.5
29,1.0,0.0,0,1.5
30,1.0,0.0,0,1.5
31,1.0,0.0,0,1.5
32,1.0,0.0,0,1.5
33,1.0,0.0,0,1.5
34,1.0,0.0,0,1.5
35,1.0,0.0,0,1.5
36,1.0,0.0,0,1.5
37,1.0,0.0,0,1.5
38,1.0,0.0,0,1.5
39,1.0,0.0,0,1.5
40,1.0,0.0,0,1.5
41,1.0,0.0,0,1.5
42,1.0,0.0,0,1.5
43,1.0,0.0,0,1.5
44,1.0,0.0,0,1.5
45,1.0,100.0,5,1.5
46,1.0,100.0,0,1.5
47,1.0,100.0,0,1.5
48,1.0,100.0,0,1.5
49,1.0,100.0,0,1.5
50,1.0,100.0,0,1.5
51,1.0,100.0,0,1.5
52,1.0,100.0,0,1.5
53,1.0,100.0,0,1.5
54,1.0,100.0,0,1.5
55,1.0,100.0,0,1.5
56,1.0,100.0,0,1.5
57,1.0,100.0,0,1.5
58,1.0,100.0,0,1.5
59,1.0,35.66493194555645,0,1.5
60,1.0,38.5,0,1.5
61,1.0,41.099999999999994,0,1.5
62,1.0,43.099999999999994,0,1.5
63,1.0,45.723378702962364,0,1.5
64,1.0,48.900000000000006,0,1.5
65,1.0,54.7,0,1.5
66,1.0,58.5,0,1.5
67,1.0,60.688350680544445,0,1.5
68,1.0,60.5,0,1.5
69,1.0,100.0,0,1.5
70,1.0,100.0,0,1.5
71,0.0,100.0,0,0.0
72,0.0,100.0,0,0.0
73,0.0,100.0,0,0.0
74,0.0,100.0,0,0.0
75,0.0,100.0,0,0.0
76,0.0,100.0,0,0.0
77,0.0,100.0,0,0.0
78,0.0,100.0,0,0.0
79,0.0,100.0,0,0.0
80,0.0,100.0,0,0.0
81,0.0,100.0,0,0.0
82,0.0,100.0,0,0.0
83,0.0,100.0,0,0.0
84,0.0,100.0,0,0.0
85,0.0,100.0,0,0.0
86,0.0,100.0,0,0.0
87,0.0,100.0,0,0.0
88,0.0,100.0,0,0.0
89,0.0,100.0,0,0.0
90,0.0,100.0,0,0.0
91,0.0,100.0,0,0.0
92,0.0,100.0,0,0.0
93,0.0,100.0,0,0.0
94,0.0,100.0,0,0.0
